index,D_0__Archaea,D_0__Bacteria,D_0__Eukaryota,Unassigned,Well,Area,Date,FilterSize,DNA_concentration_ng/μl,DNA_volume_μl,R1.seq.num,R2.seq.num,Matched.seq.num,OldID_for_R
Spring20190615-GW82120190513F01,0.0,9512.0,0.0,0.0,GW821,Bkgd,5/13/19,F01,1.380,50.0,409465.0,284760.0,273213.0,GW821T190513F01
Spring20190615-GW82120190513F02,265.0,30045.0,0.0,0.0,GW821,Bkgd,5/13/19,F02,54.772,50.0,61700.0,60673.0,57000.0,GW821T190513F02
Spring20190615-GW82120190513F10,103.0,34092.0,0.0,2.0,GW821,Bkgd,5/13/19,F10,6.315,50.0,60497.0,58608.0,56644.0,GW821T190513F10
Spring20190615-GW82220190318F01,9.0,47225.0,0.0,0.0,GW822,Bkgd,3/18/19,F01,0.310,50.0,85264.0,80053.0,77168.0,GW822T190318F01
Spring20190615-GW82220190318F02,1114.0,23558.0,0.0,0.0,GW822,Bkgd,3/18/19,F02,1.861,50.0,47166.0,44198.0,42267.0,GW822T190318F02
Spring20190615-GW82220190318F10,546.0,22922.0,0.0,0.0,GW822,Bkgd,3/18/19,F10,0.440,50.0,41531.0,38887.0,37752.0,GW822T190318F10
Spring20190615-GW82220190401F01,29.0,185760.0,0.0,6.0,GW822,Bkgd,4/1/19,F01,2.901,50.0,314843.0,304100.0,293075.0,GW822T190401F01
Spring20190615-GW82220190401F02,111.0,10886.0,0.0,6.0,GW822,Bkgd,4/1/19,F02,36.375,50.0,208858.0,150355.0,144259.0,GW822T190401F02
Spring20190615-GW82220190401F10,59.0,13315.0,0.0,0.0,GW822,Bkgd,4/1/19,F10,15.186,50.0,250278.0,179476.0,171623.0,GW822T190401F10
Spring20190615-GW82220190415F01,113.0,74694.0,6.0,0.0,GW822,Bkgd,4/15/19,F01,0.970,50.0,110049.0,106244.0,102643.0,GW822T190415F01
Spring20190615-GW82220190415F02,2884.0,154847.0,0.0,0.0,GW822,Bkgd,4/15/19,F02,14.396,50.0,269024.0,255182.0,247114.0,GW822T190415F02
Spring20190615-GW82220190415F10,619.0,147773.0,0.0,11.0,GW822,Bkgd,4/15/19,F10,1.111,50.0,242158.0,234413.0,222801.0,GW822T190415F10
Spring20190615-GW82220190429F02,508.0,13584.0,0.0,0.0,GW822,Bkgd,4/29/19,F02,11.883,50.0,260363.0,185077.0,178576.0,GW822T190429F02
Spring20190615-GW82220190429F10,248.0,35052.0,0.0,0.0,GW822,Bkgd,4/29/19,F10,1.220,50.0,65517.0,60719.0,58493.0,GW822T190429F10
Spring20190615-GW82220190513F01,0.0,8953.0,0.0,0.0,GW822,Bkgd,5/13/19,F01,1.008,50.0,344748.0,244565.0,231218.0,GW822T190513F01
Spring20190615-GW82220190513F02,15.0,3723.0,0.0,0.0,GW822,Bkgd,5/13/19,F02,54.772,50.0,349643.0,245881.0,232295.0,GW822T190513F02
Spring20190615-GW82220190513F10,489.0,15491.0,0.0,0.0,GW822,Bkgd,5/13/19,F10,12.949,50.0,35303.0,33742.0,32435.0,GW822T190513F10
Spring20190615-GW82320190318F01,502.0,10861.0,0.0,0.0,GW823,Bkgd,3/18/19,F01,ND,50.0,278880.0,195943.0,186686.0,GW823T190318F01
Spring20190615-GW82320190318F02,8429.0,81072.0,0.0,0.0,GW823,Bkgd,3/18/19,F02,1.980,50.0,137615.0,130510.0,125331.0,GW823T190318F02
Spring20190615-GW82320190318F10,53.0,39180.0,0.0,0.0,GW823,Bkgd,3/18/19,F10,0.690,50.0,52471.0,50680.0,48910.0,GW823T190318F10
Spring20190615-GW82320190401F01,2592.0,308824.0,188.0,0.0,GW823,Bkgd,4/1/19,F01,0.530,50.0,519475.0,499297.0,484435.0,GW823T190401F01
Spring20190615-GW82320190401F02,579.0,17362.0,0.0,0.0,GW823,Bkgd,4/1/19,F02,0.720,50.0,269666.0,191200.0,183569.0,GW823T190401F02
Spring20190615-GW82320190401F10,34.0,15307.0,0.0,0.0,GW823,Bkgd,4/1/19,F10,1.441,50.0,229752.0,162971.0,156935.0,GW823T190401F10
Spring20190615-GW82320190415F01,177.0,170332.0,0.0,0.0,GW823,Bkgd,4/15/19,F01,0.190,50.0,240889.0,234573.0,226500.0,GW823T190415F01
Spring20190615-GW82320190415F02,377.0,93126.0,0.0,0.0,GW823,Bkgd,4/15/19,F02,1.700,50.0,180510.0,167743.0,161915.0,GW823T190415F02
Spring20190615-GW82320190415F10,66.0,72782.0,0.0,0.0,GW823,Bkgd,4/15/19,F10,0.763,50.0,108131.0,101817.0,98377.0,GW823T190415F10
Spring20190615-GW82320190429F01,0.0,50491.0,11.0,0.0,GW823,Bkgd,4/29/19,F01,0.463,50.0,66577.0,63647.0,61603.0,GW823T190429F01
Spring20190615-GW82320190429F02,1606.0,168344.0,0.0,4.0,GW823,Bkgd,4/29/19,F02,0.687,50.0,233814.0,226696.0,219014.0,GW823T190429F02
Spring20190615-GW82320190429F10,115.0,158873.0,0.0,0.0,GW823,Bkgd,4/29/19,F10,2.390,50.0,228156.0,211832.0,202379.0,GW823T190429F10
Spring20190615-GW82320190513F01,0.0,13514.0,0.0,0.0,GW823,Bkgd,5/13/19,F01,0.850,50.0,485647.0,343182.0,324778.0,GW823T190513F01
Spring20190615-GW82320190513F02,2.0,9305.0,0.0,0.0,GW823,Bkgd,5/13/19,F02,2.610,50.0,388527.0,266288.0,253945.0,GW823T190513F02
Spring20190615-GW82320190513F10,240.0,139488.0,0.0,2.0,GW823,Bkgd,5/13/19,F10,0.264,50.0,193895.0,185246.0,179845.0,GW823T190513F10
Spring20190615-MLSB520190319F02,89.0,12766.0,0.0,0.0,MLSB5,Area2,3/19/19,F02,42.157,50.0,209964.0,151635.0,144209.0,MLSB5T190319F02
Spring20190615-MLSB520190319F10,98.0,6716.0,0.0,0.0,MLSB5,Area2,3/19/19,F10,0.911,50.0,271900.0,187521.0,180248.0,MLSB5T190319F10
Spring20190615-MLSB520190402F01,187.0,6460.0,0.0,0.0,MLSB5,Area2,4/2/19,F01,0.071,50.0,353695.0,243461.0,229032.0,MLSB5T190402F01
Spring20190615-MLSB520190402F02,37.0,7174.0,0.0,0.0,MLSB5,Area2,4/2/19,F02,19.408,50.0,250077.0,176152.0,169678.0,MLSB5T190402F02
Spring20190615-MLSB520190402F10,292.0,42135.0,0.0,0.0,MLSB5,Area2,4/2/19,F10,0.909,50.0,72510.0,67798.0,63959.0,MLSB5T190402F10
Spring20190615-MLSB520190416F01,327.0,184193.0,0.0,0.0,MLSB5,Area2,4/16/19,F01,0.043,50.0,271349.0,265351.0,251490.0,MLSB5T190416F01
Spring20190615-MLSB520190416F02,166.0,17283.0,0.0,0.0,MLSB5,Area2,4/16/19,F02,5.490,50.0,182744.0,131257.0,125683.0,MLSB5T190416F02
Spring20190615-MLSB520190416F10,1456.0,90736.0,0.0,12.0,MLSB5,Area2,4/16/19,F10,1.302,50.0,156175.0,147657.0,140783.0,MLSB5T190416F10
Spring20190615-MLSB520190430F01,1320.0,188407.0,0.0,0.0,MLSB5,Area2,4/30/19,F01,0.224,50.0,286336.0,278025.0,263895.0,MLSB5T190430F01
Spring20190615-MLSB520190430F02,2507.0,163834.0,0.0,11.0,MLSB5,Area2,4/30/19,F02,8.043,50.0,256218.0,253389.0,238556.0,MLSB5T190430F02
Spring20190615-MLSB520190430F10,573.0,108446.0,0.0,5.0,MLSB5,Area2,4/30/19,F10,1.292,50.0,173005.0,163013.0,156347.0,MLSB5T190430F10
Spring20190615-MLSB520190514F01,139.0,19730.0,0.0,3.0,MLSB5,Area2,5/14/19,F01,0.630,50.0,253106.0,185537.0,177340.0,MLSB5T190514F01
Spring20190615-MLSB520190514F02,246.0,22797.0,0.0,0.0,MLSB5,Area2,5/14/19,F02,7.940,50.0,37067.0,36497.0,34451.0,MLSB5T190514F02
Spring20190615-MLSB520190514F10,97.0,11462.0,0.0,0.0,MLSB5,Area2,5/14/19,F10,0.744,50.0,196257.0,140548.0,132751.0,MLSB5T190514F10
Spring20190615-MLSD520190319F01,2582.0,22093.0,0.0,0.0,MLSD5,Area2,3/19/19,F01,0.358,50.0,35190.0,34090.0,31687.0,MLSD5T190319F01
Spring20190615-MLSD520190319F02,218.0,5875.0,0.0,0.0,MLSD5,Area2,3/19/19,F02,3.376,50.0,334724.0,238422.0,223605.0,MLSD5T190319F02
Spring20190615-MLSD520190319F10,60.0,13854.0,0.0,0.0,MLSD5,Area2,3/19/19,F10,1.027,50.0,187388.0,136453.0,129464.0,MLSD5T190319F10
Spring20190615-MLSD520190402F01,6388.0,56474.0,18.0,4.0,MLSD5,Area2,4/2/19,F01,0.245,50.0,99773.0,94912.0,90553.0,MLSD5T190402F01
Spring20190615-MLSD520190402F02,76.0,3694.0,0.0,0.0,MLSD5,Area2,4/2/19,F02,3.366,50.0,505350.0,350808.0,333840.0,MLSD5T190402F02
Spring20190615-MLSD520190402F10,628.0,75273.0,3.0,19.0,MLSD5,Area2,4/2/19,F10,2.120,50.0,132590.0,119750.0,115091.0,MLSD5T190402F10
Spring20190615-MLSD520190416F01,2992.0,168507.0,16.0,5.0,MLSD5,Area2,4/16/19,F01,0.090,50.0,271982.0,256021.0,243448.0,MLSD5T190416F01
Spring20190615-MLSD520190416F02,516.0,19976.0,0.0,6.0,MLSD5,Area2,4/16/19,F02,2.926,50.0,333370.0,241457.0,229539.0,MLSD5T190416F02
Spring20190615-MLSD520190416F10,893.0,133763.0,4.0,8.0,MLSD5,Area2,4/16/19,F10,0.152,50.0,191813.0,186222.0,179320.0,MLSD5T190416F10
Spring20190615-MLSD520190430F01,3331.0,88506.0,4.0,0.0,MLSD5,Area2,4/30/19,F01,0.219,50.0,124039.0,119643.0,115098.0,MLSD5T190430F01
Spring20190615-MLSD520190430F02,1141.0,132417.0,0.0,11.0,MLSD5,Area2,4/30/19,F02,1.282,50.0,191954.0,185619.0,177369.0,MLSD5T190430F02
Spring20190615-MLSD520190430F10,407.0,90081.0,0.0,0.0,MLSD5,Area2,4/30/19,F10,ND,50.0,111408.0,108088.0,103873.0,MLSD5T190430F10
Spring20190615-MLSD520190514F01,288.0,53072.0,0.0,0.0,MLSD5,Area2,5/14/19,F01,ND,50.0,70834.0,67914.0,65477.0,MLSD5T190514F01
Spring20190615-MLSD520190514F02,389.0,14571.0,0.0,0.0,MLSD5,Area2,5/14/19,F02,4.796,50.0,242551.0,172398.0,164888.0,MLSD5T190514F02
Spring20190615-MLSD520190514F10,154.0,15606.0,0.0,0.0,MLSD5,Area2,5/14/19,F10,0.014,50.0,273600.0,193568.0,185302.0,MLSD5T190514F10
Spring20190615-MLSF520190319F01,3180.0,52605.0,0.0,3.0,MLSF5,Area2,3/19/19,F01,0.263,50.0,78104.0,76062.0,72631.0,MLSF5T190319F01
Spring20190615-MLSF520190319F02,465.0,11957.0,0.0,0.0,MLSF5,Area2,3/19/19,F02,2.424,50.0,202354.0,148364.0,138011.0,MLSF5T190319F02
Spring20190615-MLSF520190319F10,63.0,15447.0,0.0,2.0,MLSF5,Area2,3/19/19,F10,0.290,50.0,198650.0,141885.0,134897.0,MLSF5T190319F10
Spring20190615-MLSF520190402F01,2414.0,102899.0,0.0,3.0,MLSF5,Area2,4/2/19,F01,0.932,50.0,171267.0,167175.0,160306.0,MLSF5T190402F01
Spring20190615-MLSF520190402F02,93.0,4542.0,0.0,0.0,MLSF5,Area2,4/2/19,F02,4.752,50.0,477800.0,334694.0,319223.0,MLSF5T190402F02
Spring20190615-MLSF520190402F10,1000.0,157633.0,2.0,65.0,MLSF5,Area2,4/2/19,F10,0.923,50.0,218160.0,211469.0,202696.0,MLSF5T190402F10
Spring20190615-MLSF520190416F01,1863.0,114533.0,14.0,18.0,MLSF5,Area2,4/16/19,F01,0.094,50.0,168281.0,161879.0,154960.0,MLSF5T190416F01
Spring20190615-MLSF520190416F02,1325.0,38490.0,0.0,0.0,MLSF5,Area2,4/16/19,F02,2.748,50.0,58157.0,56756.0,54302.0,MLSF5T190416F02
Spring20190615-MLSF520190416F10,728.0,118614.0,0.0,9.0,MLSF5,Area2,4/16/19,F10,0.755,50.0,176910.0,171580.0,163716.0,MLSF5T190416F10
Spring20190615-MLSF520190430F01,2039.0,167413.0,60.0,0.0,MLSF5,Area2,4/30/19,F01,0.192,50.0,267619.0,252489.0,243960.0,MLSF5T190430F01
Spring20190615-MLSF520190430F02,2105.0,146700.0,0.0,0.0,MLSF5,Area2,4/30/19,F02,3.492,50.0,213587.0,211736.0,199319.0,MLSF5T190430F02
Spring20190615-MLSF520190430F10,1783.0,219432.0,0.0,19.0,MLSF5,Area2,4/30/19,F10,0.541,50.0,322134.0,310084.0,296971.0,MLSF5T190430F10
Spring20190615-MLSF520190514F01,188.0,30751.0,3.0,0.0,MLSF5,Area2,5/14/19,F01,0.500,50.0,48319.0,46395.0,44676.0,MLSF5T190514F01
Spring20190615-MLSF520190514F02,715.0,23599.0,0.0,0.0,MLSF5,Area2,5/14/19,F02,1.051,50.0,38304.0,36644.0,35455.0,MLSF5T190514F02
Spring20190615-MLSF520190514F10,397.0,33220.0,0.0,13.0,MLSF5,Area2,5/14/19,F10,ND,50.0,48417.0,46572.0,45005.0,MLSF5T190514F10
